calling_number,called_number,call_type,duration,timestamp,cell_id,location
03001234567,03219876543,outgoing,180,2026-01-05 10:30:15,CELL001,Karachi
03219876543,03001234567,incoming,240,2026-01-05 11:15:42,CELL002,Lahore
03001234567,03451111111,outgoing,95,2026-01-05 12:20:33,CELL001,Karachi
03331234567,03001234567,incoming,310,2026-01-05 13:45:22,CELL001,Karachi
03001234567,03219876543,outgoing,456,2026-01-05 14:10:18,CELL003,Karachi
03001234567,03331234567,sms,0,2026-01-05 15:30:00,CELL001,Karachi
03219876543,03001234567,incoming,189,2026-01-05 16:25:45,CELL002,Lahore
03001234567,03451111111,outgoing,67,2026-01-05 17:40:30,CELL001,Karachi
03001234567,03219876543,outgoing,520,2026-01-05 18:55:12,CELL001,Karachi
03451111111,03001234567,incoming,145,2026-01-05 19:10:25,CELL004,Islamabad
03001234567,03331234567,outgoing,201,2026-01-05 20:35:50,CELL001,Karachi
03001234567,03219876543,sms,0,2026-01-05 21:15:30,CELL001,Karachi
03219876543,03001234567,incoming,378,2026-01-05 22:40:15,CELL002,Lahore
03001234567,03451111111,outgoing,92,2026-01-05 23:55:40,CELL001,Karachi
03331234567,03001234567,incoming,267,2026-01-06 00:20:10,CELL005,Rawalpindi
03001234567,03219876543,outgoing,423,2026-01-06 01:45:25,CELL001,Karachi
03001234567,03001111222,outgoing,156,2026-01-06 02:30:55,CELL001,Karachi
03001234567,03219876543,outgoing,198,2026-01-06 03:15:40,CELL001,Karachi
03219876543,03001234567,incoming,345,2026-01-06 04:50:20,CELL002,Lahore
03001234567,03451111111,outgoing,89,2026-01-06 06:25:35,CELL001,Karachi
03001234567,03331234567,outgoing,234,2026-01-06 07:40:18,CELL001,Karachi
03331234567,03001234567,incoming,167,2026-01-06 08:15:42,CELL005,Rawalpindi
03001234567,03219876543,outgoing,412,2026-01-06 09:30:25,CELL001,Karachi
03001234567,03001111222,sms,0,2026-01-06 10:45:10,CELL001,Karachi
03451111111,03001234567,incoming,298,2026-01-06 11:20:55,CELL004,Islamabad
03001234567,03219876543,outgoing,523,2026-01-06 12:35:30,CELL001,Karachi
03001234567,03219876543,outgoing,367,2026-01-06 13:50:15,CELL001,Karachi
03219876543,03001234567,incoming,445,2026-01-06 14:25:40,CELL002,Lahore
03001234567,03331234567,outgoing,189,2026-01-06 15:10:25,CELL001,Karachi
03001234567,03219876543,outgoing,601,2026-01-06 16:45:50,CELL001,Karachi
03001111222,03001234567,incoming,123,2026-01-06 17:30:15,CELL006,Karachi
03001234567,03451111111,outgoing,78,2026-01-06 18:15:40,CELL001,Karachi
03001234567,03219876543,sms,0,2026-01-06 19:40:25,CELL001,Karachi
03219876543,03001234567,incoming,389,2026-01-06 20:25:10,CELL002,Lahore
03001234567,03331234567,outgoing,267,2026-01-06 21:50:35,CELL001,Karachi
03001234567,03219876543,outgoing,478,2026-01-06 22:15:20,CELL001,Karachi
03451111111,03001234567,incoming,234,2026-01-06 23:40:45,CELL004,Islamabad
03001234567,03001999888,outgoing,145,2026-01-07 00:25:30,CELL001,Karachi
03001234567,03219876543,outgoing,534,2026-01-07 01:50:15,CELL001,Karachi
03219876543,03001234567,incoming,412,2026-01-07 02:35:40,CELL002,Lahore
